Fecha,Confirmados,Confirmados_Ing,Sospechosos,Defunciones_Sint,Defunciones_Muer
2020-01-01,,,132,,
2020-01-02,4.0,,110,,
2020-01-03,4.0,,109,,
2020-01-04,1.0,,106,,
2020-01-05,2.0,4.0,161,,
2020-01-06,2.0,7.0,176,,
2020-01-07,3.0,1.0,168,,
2020-01-08,,3.0,146,,
2020-01-09,4.0,1.0,146,,
2020-01-10,6.0,2.0,145,,
2020-01-11,1.0,3.0,145,,
2020-01-12,1.0,3.0,214,,
2020-01-13,7.0,3.0,306,,
2020-01-14,6.0,6.0,252,,
2020-01-15,7.0,7.0,244,,
2020-01-16,3.0,8.0,203,,
2020-01-17,2.0,2.0,158,,
2020-01-18,4.0,3.0,174,,
2020-01-19,4.0,2.0,275,,
2020-01-20,2.0,2.0,307,,
2020-01-21,1.0,,240,,
2020-01-22,2.0,6.0,208,,
2020-01-23,2.0,3.0,189,,
2020-01-24,5.0,2.0,206,1.0,
2020-01-25,2.0,5.0,207,,
2020-01-26,5.0,,258,,
2020-01-27,3.0,7.0,319,,
2020-01-28,1.0,2.0,249,,
2020-01-29,3.0,1.0,213,,
2020-01-30,,4.0,152,,
2020-01-31,3.0,1.0,152,,
2020-02-01,3.0,3.0,195,,
2020-02-02,4.0,,220,,
2020-02-03,6.0,7.0,259,,
2020-02-04,1.0,3.0,278,,
2020-02-05,1.0,2.0,215,,
2020-02-06,2.0,1.0,143,,
2020-02-07,1.0,3.0,162,,1.0
2020-02-08,2.0,,200,,
2020-02-09,6.0,5.0,240,,
2020-02-10,4.0,,300,,
2020-02-11,3.0,4.0,201,,
2020-02-12,4.0,4.0,172,,
2020-02-13,5.0,4.0,147,,
2020-02-14,9.0,,155,,
2020-02-15,7.0,10.0,227,,
2020-02-16,3.0,3.0,244,,
2020-02-17,8.0,4.0,253,,
2020-02-18,5.0,8.0,253,,
2020-02-19,8.0,13.0,207,,
2020-02-20,11.0,9.0,166,,
2020-02-21,9.0,4.0,159,,
2020-02-22,6.0,5.0,218,,
2020-02-23,3.0,3.0,236,,
2020-02-24,6.0,13.0,270,1.0,1.0
2020-02-25,7.0,5.0,234,,
2020-02-26,5.0,3.0,193,1.0,
2020-02-27,4.0,10.0,164,1.0,
2020-02-28,9.0,7.0,179,,
2020-02-29,8.0,2.0,266,,
2020-03-01,12.0,5.0,347,1.0,
2020-03-02,16.0,8.0,315,2.0,
2020-03-03,17.0,11.0,247,3.0,1.0
2020-03-04,14.0,8.0,225,3.0,
2020-03-05,12.0,10.0,183,,
2020-03-06,15.0,5.0,132,3.0,
2020-03-07,21.0,5.0,147,,
2020-03-08,28.0,8.0,234,2.0,
2020-03-09,69.0,5.0,268,2.0,
2020-03-10,56.0,14.0,267,1.0,
2020-03-11,61.0,38.0,223,1.0,
2020-03-12,92.0,39.0,149,1.0,
2020-03-13,113.0,64.0,185,8.0,1.0
2020-03-14,107.0,51.0,224,7.0,
2020-03-15,116.0,37.0,365,11.0,
2020-03-16,142.0,72.0,376,15.0,
2020-03-17,146.0,102.0,353,14.0,2.0
2020-03-18,154.0,118.0,345,13.0,3.0
2020-03-19,135.0,151.0,311,16.0,
2020-03-20,224.0,131.0,463,32.0,1.0
2020-03-21,154.0,81.0,401,26.0,
2020-03-22,175.0,68.0,521,27.0,2.0
2020-03-23,256.0,161.0,920,43.0,1.0
2020-03-24,203.0,220.0,890,34.0,2.0
2020-03-25,236.0,176.0,1014,43.0,2.0
2020-03-26,287.0,215.0,913,51.0,8.0
2020-03-27,310.0,254.0,954,49.0,8.0
2020-03-28,302.0,183.0,992,55.0,15.0
2020-03-29,290.0,153.0,1087,62.0,9.0
2020-03-30,419.0,329.0,1330,75.0,12.0
2020-03-31,326.0,305.0,1072,69.0,22.0
2020-04-01,516.0,358.0,1281,103.0,20.0
2020-04-02,469.0,336.0,877,102.0,27.0
2020-04-03,473.0,370.0,927,105.0,33.0
2020-04-04,476.0,235.0,884,94.0,34.0
2020-04-05,462.0,243.0,876,84.0,31.0
2020-04-06,625.0,603.0,1077,125.0,53.0
2020-04-07,547.0,497.0,936,126.0,56.0
2020-04-08,670.0,551.0,973,162.0,49.0
2020-04-09,661.0,451.0,892,131.0,55.0
2020-04-10,1027.0,534.0,1124,210.0,71.0
2020-04-11,777.0,439.0,1009,151.0,71.0
2020-04-12,819.0,446.0,1003,184.0,73.0
2020-04-13,1017.0,904.0,1337,229.0,87.0
2020-04-14,971.0,884.0,1119,207.0,96.0
2020-04-15,1127.0,933.0,1168,257.0,99.0
2020-04-16,1100.0,948.0,1132,242.0,90.0
2020-04-17,1259.0,1090.0,1133,273.0,118.0
2020-04-18,1342.0,763.0,1101,318.0,121.0
2020-04-19,1201.0,726.0,1167,273.0,148.0
2020-04-20,1970.0,1442.0,1501,422.0,176.0
2020-04-21,1302.0,1400.0,1018,276.0,177.0
2020-04-22,1337.0,1341.0,918,284.0,174.0
2020-04-23,1383.0,1430.0,885,305.0,185.0
2020-04-24,1647.0,1647.0,860,377.0,220.0
2020-04-25,1713.0,1074.0,835,373.0,239.0
2020-04-26,1518.0,1017.0,744,332.0,261.0
2020-04-27,1875.0,1834.0,831,406.0,231.0
2020-04-28,1648.0,1860.0,680,339.0,241.0
2020-04-29,1468.0,1829.0,585,296.0,314.0
2020-04-30,2065.0,1819.0,611,428.0,289.0
2020-05-01,2796.0,1438.0,915,586.0,338.0
2020-05-02,1988.0,1378.0,664,361.0,296.0
2020-05-03,1900.0,1268.0,652,358.0,285.0
2020-05-04,2413.0,2546.0,730,453.0,357.0
2020-05-05,2448.0,2119.0,792,519.0,342.0
2020-05-06,2175.0,2285.0,685,424.0,329.0
2020-05-07,2414.0,2422.0,652,459.0,319.0
2020-05-08,2799.0,2426.0,770,526.0,352.0
2020-05-09,2495.0,1536.0,676,449.0,343.0
2020-05-10,3371.0,1435.0,953,732.0,349.0
2020-05-11,3115.0,2983.0,835,577.0,371.0
2020-05-12,2814.0,2944.0,743,473.0,397.0
2020-05-13,2733.0,3120.0,750,475.0,410.0
2020-05-14,2771.0,3083.0,742,488.0,459.0
2020-05-15,4067.0,3498.0,1033,632.0,466.0
2020-05-16,3073.0,2179.0,717,493.0,437.0
2020-05-17,2950.0,1648.0,787,491.0,502.0
2020-05-18,4253.0,4050.0,1113,652.0,502.0
2020-05-19,3331.0,3590.0,784,553.0,504.0
2020-05-20,4560.0,3923.0,1078,732.0,495.0
2020-05-21,3117.0,4022.0,710,484.0,494.0
2020-05-22,3930.0,4001.0,782,590.0,482.0
2020-05-23,3618.0,2292.0,754,571.0,471.0
2020-05-24,3400.0,1890.0,809,561.0,525.0
2020-05-25,5131.0,4664.0,1094,755.0,545.0
2020-05-26,3764.0,4343.0,775,568.0,541.0
