Fecha,Confirmados,Confirmados_Ing,Sospechosos,Defunciones_Sint,Defunciones_Muer
2020-01-01,,,132,,
2020-01-02,,,114,,
2020-01-03,,,113,,
2020-01-04,,,107,,
2020-01-05,,,163,,
2020-01-06,,,178,,
2020-01-07,,,171,,
2020-01-08,,,146,,
2020-01-09,,,150,,
2020-01-10,,,151,,
2020-01-11,,,146,,
2020-01-12,,,215,,
2020-01-13,,,313,,
2020-01-14,,,258,,
2020-01-15,,,251,,
2020-01-16,,,206,,
2020-01-17,,,160,,
2020-01-18,,,178,,
2020-01-19,,,279,,
2020-01-20,,,309,,
2020-01-21,,,241,,
2020-01-22,1.0,,209,,
2020-01-23,,1.0,191,,
2020-01-24,1.0,,209,,
2020-01-25,,1.0,209,,
2020-01-26,,,263,,
2020-01-27,,,322,,
2020-01-28,,,250,,
2020-01-29,,,216,,
2020-01-30,,,152,,
2020-01-31,,,155,,
2020-02-01,,,198,,
2020-02-02,,,224,,
2020-02-03,,,265,,
2020-02-04,,,279,,
2020-02-05,,,216,,
2020-02-06,,,145,,
2020-02-07,,,163,,
2020-02-08,,,202,,
2020-02-09,,,246,,
2020-02-10,,,304,,
2020-02-11,,,204,,
2020-02-12,,,176,,
2020-02-13,,,152,,
2020-02-14,,,164,,
2020-02-15,,,234,,
2020-02-16,,,247,,
2020-02-17,,,261,,
2020-02-18,,,258,,
2020-02-19,2.0,,213,,
2020-02-20,3.0,1.0,173,,
2020-02-21,,,167,,
2020-02-22,2.0,,222,,
2020-02-23,2.0,1.0,237,,
2020-02-24,2.0,3.0,274,1.0,1.0
2020-02-25,3.0,1.0,238,,
2020-02-26,2.0,1.0,196,1.0,
2020-02-27,3.0,6.0,165,1.0,
2020-02-28,4.0,3.0,184,,
2020-02-29,3.0,2.0,271,,
2020-03-01,9.0,,350,1.0,
2020-03-02,12.0,2.0,319,2.0,
2020-03-03,11.0,6.0,253,3.0,1.0
2020-03-04,11.0,5.0,228,3.0,
2020-03-05,9.0,6.0,186,,
2020-03-06,12.0,1.0,135,3.0,
2020-03-07,20.0,2.0,148,,
2020-03-08,25.0,6.0,237,2.0,
2020-03-09,67.0,4.0,270,2.0,
2020-03-10,56.0,12.0,267,1.0,
2020-03-11,58.0,34.0,226,1.0,
2020-03-12,91.0,38.0,150,1.0,
2020-03-13,103.0,63.0,194,8.0,1.0
2020-03-14,103.0,51.0,228,7.0,
2020-03-15,110.0,37.0,371,11.0,
2020-03-16,140.0,72.0,378,15.0,
2020-03-17,145.0,94.0,355,14.0,2.0
2020-03-18,152.0,104.0,347,13.0,3.0
2020-03-19,135.0,151.0,311,16.0,
2020-03-20,223.0,131.0,463,32.0,1.0
2020-03-21,153.0,81.0,402,26.0,
2020-03-22,173.0,65.0,523,27.0,2.0
2020-03-23,253.0,160.0,923,43.0,1.0
2020-03-24,201.0,220.0,891,34.0,2.0
2020-03-25,236.0,174.0,1014,43.0,2.0
2020-03-26,285.0,212.0,915,51.0,8.0
