Fecha,Confirmados,Confirmados_Ing,Sospechosos,Defunciones_Sint,Defunciones_Muer
2020-01-01,1.0,1.0,131,,
2020-01-02,,,113,,
2020-01-03,1.0,,112,,
2020-01-04,,,107,,
2020-01-05,4.0,,159,,
2020-01-06,,,178,,
2020-01-07,1.0,1.0,170,,
2020-01-08,,3.0,146,,
2020-01-09,1.0,,149,,
2020-01-10,2.0,2.0,148,,
2020-01-11,2.0,,144,,
2020-01-12,1.0,,214,,
2020-01-13,1.0,1.0,311,,
2020-01-14,,2.0,258,,
2020-01-15,1.0,,250,,
2020-01-16,,,206,,
2020-01-17,1.0,1.0,158,,
2020-01-18,1.0,,177,,
2020-01-19,,1.0,278,,
2020-01-20,1.0,2.0,307,,
2020-01-21,2.0,2.0,238,,1.0
2020-01-22,1.0,2.0,207,,
2020-01-23,,1.0,191,,
2020-01-24,2.0,1.0,209,1.0,
2020-01-25,1.0,1.0,207,,
2020-01-26,1.0,1.0,261,,
2020-01-27,,1.0,322,,
2020-01-28,1.0,1.0,249,,
2020-01-29,1.0,1.0,215,,
2020-01-30,,1.0,152,,
2020-01-31,1.0,,154,,
2020-02-01,1.0,,197,,
2020-02-02,1.0,,223,,
2020-02-03,,1.0,265,,
2020-02-04,1.0,1.0,278,,
2020-02-05,1.0,2.0,215,,
2020-02-06,,1.0,145,,
2020-02-07,,,163,,1.0
2020-02-08,,,202,,
2020-02-09,1.0,,244,,
2020-02-10,3.0,1.0,301,,
2020-02-11,,1.0,203,,
2020-02-12,1.0,1.0,175,,
2020-02-13,,1.0,152,,
2020-02-14,2.0,1.0,164,,
2020-02-15,1.0,,231,,
2020-02-16,,,247,,
2020-02-17,,,260,,
2020-02-18,,,262,,
2020-02-19,1.0,,216,,
2020-02-20,1.0,,174,,
2020-02-21,,,167,,
2020-02-22,3.0,1.0,223,,
2020-02-23,2.0,,237,,
2020-02-24,,1.0,274,,
2020-02-25,4.0,1.0,237,,
2020-02-26,2.0,1.0,196,1.0,
2020-02-27,3.0,7.0,164,,
2020-02-28,4.0,4.0,184,,
2020-02-29,6.0,3.0,269,1.0,
2020-03-01,11.0,1.0,347,1.0,
2020-03-02,18.0,5.0,311,2.0,
2020-03-03,18.0,11.0,246,3.0,1.0
2020-03-04,14.0,9.0,226,3.0,
2020-03-05,13.0,10.0,182,1.0,
2020-03-06,16.0,6.0,131,3.0,
2020-03-07,22.0,7.0,146,,
2020-03-08,29.0,8.0,233,2.0,
2020-03-09,69.0,5.0,269,2.0,
2020-03-10,58.0,15.0,265,1.0,
2020-03-11,64.0,39.0,222,1.0,
2020-03-12,94.0,42.0,148,1.0,
2020-03-13,113.0,67.0,185,8.0,1.0
2020-03-14,107.0,52.0,224,7.0,
2020-03-15,118.0,38.0,364,11.0,
2020-03-16,147.0,76.0,373,16.0,
2020-03-17,147.0,104.0,353,14.0,2.0
