Fecha,Confirmados,Confirmados_Ing,Sospechosos,Defunciones_Sint,Defunciones_Muer
2020-01-01,0.0,0.0,132,0.0,0.0
2020-01-02,0.0,0.0,114,0.0,0.0
2020-01-03,0.0,0.0,113,0.0,0.0
2020-01-04,0.0,0.0,107,0.0,0.0
2020-01-05,0.0,0.0,163,0.0,0.0
2020-01-06,0.0,0.0,179,0.0,0.0
2020-01-07,0.0,0.0,171,0.0,0.0
2020-01-08,0.0,0.0,146,0.0,0.0
2020-01-09,0.0,0.0,150,0.0,0.0
2020-01-10,0.0,0.0,151,0.0,0.0
2020-01-11,0.0,0.0,146,0.0,0.0
2020-01-12,0.0,0.0,216,0.0,0.0
2020-01-13,0.0,0.0,313,0.0,0.0
2020-01-14,0.0,0.0,258,0.0,0.0
2020-01-15,0.0,0.0,251,0.0,0.0
2020-01-16,0.0,0.0,206,0.0,0.0
2020-01-17,0.0,0.0,160,0.0,0.0
2020-01-18,0.0,0.0,178,0.0,0.0
2020-01-19,0.0,0.0,279,0.0,0.0
2020-01-20,0.0,0.0,310,0.0,0.0
2020-01-21,0.0,0.0,241,0.0,0.0
2020-01-22,0.0,0.0,210,0.0,0.0
2020-01-23,0.0,0.0,191,0.0,0.0
2020-01-24,0.0,0.0,210,0.0,0.0
2020-01-25,0.0,0.0,209,0.0,0.0
2020-01-26,0.0,0.0,263,0.0,0.0
2020-01-27,0.0,0.0,322,0.0,0.0
2020-01-28,0.0,0.0,250,0.0,0.0
2020-01-29,0.0,0.0,216,0.0,0.0
2020-01-30,0.0,0.0,152,0.0,0.0
2020-01-31,0.0,0.0,155,0.0,0.0
2020-02-01,0.0,0.0,198,0.0,0.0
2020-02-02,0.0,0.0,224,0.0,0.0
2020-02-03,0.0,0.0,265,0.0,0.0
2020-02-04,0.0,0.0,279,0.0,0.0
2020-02-05,0.0,0.0,216,0.0,0.0
2020-02-06,0.0,0.0,145,0.0,0.0
2020-02-07,0.0,0.0,163,0.0,0.0
2020-02-08,0.0,0.0,202,0.0,0.0
2020-02-09,0.0,0.0,246,0.0,0.0
2020-02-10,0.0,0.0,304,0.0,0.0
2020-02-11,0.0,0.0,204,0.0,0.0
2020-02-12,0.0,0.0,176,0.0,0.0
2020-02-13,0.0,0.0,152,0.0,0.0
2020-02-14,0.0,0.0,164,0.0,0.0
2020-02-15,0.0,0.0,234,0.0,0.0
2020-02-16,0.0,0.0,247,0.0,0.0
2020-02-17,0.0,0.0,261,0.0,0.0
2020-02-18,0.0,0.0,257,0.0,0.0
2020-02-19,2.0,0.0,213,0.0,0.0
2020-02-20,3.0,1.0,173,0.0,0.0
2020-02-21,0.0,0.0,167,0.0,0.0
2020-02-22,2.0,0.0,222,0.0,0.0
2020-02-23,1.0,1.0,239,0.0,0.0
2020-02-24,2.0,2.0,274,1.0,1.0
2020-02-25,2.0,1.0,239,0.0,0.0
2020-02-26,2.0,1.0,196,1.0,0.0
2020-02-27,2.0,5.0,166,1.0,0.0
2020-02-28,3.0,3.0,185,0.0,0.0
2020-02-29,3.0,2.0,271,0.0,0.0
2020-03-01,8.0,0.0,350,1.0,0.0
2020-03-02,10.0,2.0,321,2.0,0.0
2020-03-03,10.0,4.0,254,3.0,1.0
2020-03-04,11.0,3.0,228,3.0,0.0
2020-03-05,9.0,4.0,186,0.0,0.0
2020-03-06,12.0,1.0,135,3.0,0.0
2020-03-07,20.0,2.0,148,0.0,0.0
2020-03-08,24.0,6.0,238,2.0,0.0
2020-03-09,68.0,4.0,270,3.0,0.0
2020-03-10,54.0,12.0,269,1.0,0.0
2020-03-11,58.0,34.0,226,1.0,0.0
2020-03-12,90.0,36.0,150,1.0,0.0
2020-03-13,102.0,60.0,195,8.0,1.0
2020-03-14,103.0,51.0,227,7.0,0.0
2020-03-15,110.0,37.0,370,11.0,0.0
2020-03-16,140.0,72.0,377,15.0,0.0
2020-03-17,145.0,95.0,353,14.0,2.0
2020-03-18,152.0,104.0,347,13.0,3.0
2020-03-19,135.0,151.0,308,16.0,0.0
2020-03-20,222.0,131.0,462,32.0,1.0
2020-03-21,153.0,81.0,402,26.0,0.0
2020-03-22,173.0,64.0,522,27.0,2.0
2020-03-23,253.0,160.0,921,43.0,1.0
2020-03-24,202.0,220.0,889,34.0,2.0
2020-03-25,236.0,174.0,1012,43.0,2.0
2020-03-26,285.0,212.0,914,51.0,8.0
2020-03-27,308.0,251.0,956,49.0,8.0
2020-03-28,299.0,183.0,995,55.0,15.0
2020-03-29,290.0,153.0,1087,61.0,9.0
2020-03-30,418.0,328.0,1332,75.0,12.0
2020-03-31,324.0,300.0,1073,69.0,22.0
2020-04-01,513.0,358.0,1283,102.0,20.0
2020-04-02,469.0,335.0,873,102.0,27.0
2020-04-03,473.0,369.0,927,105.0,33.0
2020-04-04,474.0,235.0,885,94.0,34.0
2020-04-05,462.0,241.0,876,84.0,31.0
2020-04-06,623.0,600.0,1079,125.0,53.0
2020-04-07,546.0,495.0,935,126.0,56.0
2020-04-08,670.0,549.0,973,162.0,49.0
2020-04-09,660.0,451.0,892,130.0,55.0
2020-04-10,1025.0,533.0,1124,210.0,71.0
2020-04-11,775.0,438.0,1010,152.0,71.0
2020-04-12,819.0,446.0,1002,184.0,73.0
2020-04-13,1017.0,903.0,1335,229.0,88.0
2020-04-14,969.0,883.0,1118,206.0,96.0
2020-04-15,1124.0,931.0,1170,255.0,98.0
2020-04-16,1096.0,948.0,1134,240.0,90.0
2020-04-17,1261.0,1088.0,1132,274.0,118.0
2020-04-18,1336.0,763.0,1102,317.0,120.0
2020-04-19,1198.0,725.0,1171,272.0,148.0
2020-04-20,1970.0,1438.0,1502,423.0,176.0
2020-04-21,1300.0,1401.0,1016,276.0,177.0
2020-04-22,1334.0,1339.0,918,283.0,174.0
2020-04-23,1380.0,1428.0,885,304.0,185.0
2020-04-24,1645.0,1644.0,861,377.0,220.0
2020-04-25,1711.0,1072.0,838,373.0,240.0
2020-04-26,1517.0,1017.0,745,330.0,261.0
2020-04-27,1875.0,1830.0,829,406.0,229.0
2020-04-28,1644.0,1859.0,686,336.0,240.0
2020-04-29,1467.0,1827.0,585,294.0,313.0
2020-04-30,2063.0,1816.0,619,426.0,289.0
2020-05-01,2792.0,1435.0,918,582.0,335.0
2020-05-02,1987.0,1379.0,663,358.0,296.0
2020-05-03,1894.0,1265.0,658,353.0,286.0
2020-05-04,2412.0,2542.0,735,453.0,356.0
2020-05-05,2442.0,2115.0,799,514.0,341.0
2020-05-06,2176.0,2286.0,688,426.0,327.0
2020-05-07,2411.0,2420.0,657,458.0,317.0
2020-05-08,2799.0,2421.0,769,527.0,350.0
2020-05-09,2493.0,1532.0,678,445.0,342.0
2020-05-10,3366.0,1432.0,960,727.0,348.0
2020-05-11,3109.0,2976.0,836,572.0,371.0
2020-05-12,2811.0,2942.0,743,469.0,394.0
2020-05-13,2729.0,3115.0,751,468.0,408.0
2020-05-14,2767.0,3082.0,745,484.0,455.0
2020-05-15,4065.0,3494.0,1032,627.0,463.0
2020-05-16,3070.0,2178.0,717,490.0,435.0
2020-05-17,2948.0,1649.0,783,485.0,501.0
2020-05-18,4254.0,4045.0,1110,647.0,500.0
2020-05-19,3329.0,3585.0,782,546.0,502.0
2020-05-20,4559.0,3921.0,1071,725.0,488.0
2020-05-21,3123.0,4025.0,708,484.0,491.0
2020-05-22,3930.0,4001.0,778,587.0,480.0
2020-05-23,3615.0,2290.0,754,566.0,469.0
2020-05-24,3403.0,1888.0,801,556.0,518.0
2020-05-25,5134.0,4659.0,1089,751.0,543.0
2020-05-26,3763.0,4342.0,772,564.0,539.0
2020-05-27,3602.0,4469.0,798,557.0,511.0
2020-05-28,4110.0,4228.0,916,635.0,534.0
2020-05-29,4141.0,4387.0,762,565.0,494.0
2020-05-30,4013.0,2732.0,754,577.0,533.0
2020-05-31,3709.0,2093.0,714,633.0,563.0
2020-06-01,6771.0,5309.0,1300,1075.0,611.0
2020-06-02,4243.0,4759.0,897,617.0,565.0
2020-06-03,4208.0,4971.0,929,585.0,609.0
2020-06-04,4335.0,4923.0,819,616.0,592.0
2020-06-05,5380.0,5054.0,935,686.0,553.0
2020-06-06,5049.0,3032.0,891,680.0,601.0
2020-06-07,4271.0,2352.0,841,596.0,638.0
2020-06-08,5717.0,6175.0,1110,745.0,687.0
2020-06-09,4632.0,5778.0,863,677.0,634.0
2020-06-10,6241.0,5743.0,1145,819.0,654.0
2020-06-11,4533.0,5410.0,816,560.0,609.0
2020-06-12,5320.0,5647.0,1029,700.0,669.0
2020-06-13,4693.0,3124.0,938,561.0,627.0
2020-06-14,4577.0,2601.0,911,609.0,655.0
2020-06-15,7043.0,6579.0,1420,862.0,659.0
2020-06-16,5300.0,6428.0,1118,618.0,728.0
2020-06-17,4562.0,6155.0,956,571.0,706.0
2020-06-18,5588.0,6095.0,1265,677.0,633.0
2020-06-19,5668.0,6114.0,1250,690.0,611.0
2020-06-20,7424.0,3573.0,1824,860.0,554.0
2020-06-21,4721.0,2475.0,1359,600.0,639.0
2020-06-22,6037.0,6903.0,1777,727.0,631.0
2020-06-23,5231.0,6624.0,1421,601.0,607.0
2020-06-24,5181.0,6310.0,1581,649.0,602.0
2020-06-25,6219.0,6302.0,1450,700.0,583.0
2020-06-26,6743.0,6573.0,1635,750.0,651.0
2020-06-27,5267.0,3673.0,1305,615.0,650.0
2020-06-28,6311.0,2955.0,1245,766.0,641.0
2020-06-29,6670.0,7542.0,1522,724.0,697.0
2020-06-30,6673.0,7221.0,1427,774.0,673.0
2020-07-01,8593.0,7650.0,1699,1080.0,652.0
2020-07-02,6279.0,7085.0,1213,806.0,652.0
2020-07-03,6709.0,7111.0,1072,762.0,653.0
2020-07-04,5846.0,3678.0,926,687.0,692.0
2020-07-05,6462.0,2995.0,1125,747.0,712.0
2020-07-06,7157.0,7864.0,1244,762.0,780.0
2020-07-07,6538.0,7917.0,1128,773.0,774.0
2020-07-08,5991.0,7487.0,980,698.0,700.0
2020-07-09,6147.0,7139.0,988,650.0,724.0
2020-07-10,9469.0,7226.0,1305,993.0,689.0
2020-07-11,6041.0,3905.0,1061,659.0,706.0
2020-07-12,6350.0,3251.0,895,712.0,712.0
2020-07-13,7663.0,8867.0,1151,748.0,780.0
2020-07-14,6419.0,8490.0,1031,676.0,755.0
2020-07-15,8088.0,8828.0,1140,831.0,761.0
2020-07-16,6460.0,8258.0,1009,697.0,772.0
2020-07-17,7201.0,7991.0,1037,749.0,720.0
2020-07-18,7188.0,4411.0,930,717.0,701.0
2020-07-19,6459.0,3441.0,952,703.0,763.0
